"magazine_id","State","sample_issue_date","sample_period_end_date","num_mail_subscriptions","num_single_copy_sales"
"7","Oregon","1940-03-16","1940-06-30","495","208"
"1","Pennsylvania","1928-01-01","1928-06-30",,"8529"
"1","Pennsylvania","1928-10-01","1928-12-31","21","7070"
"1","Pennsylvania","1929-02-01","1929-06-30","22","8363"
"1","Pennsylvania","1929-11-01","1929-12-31","34","9835"
"1","Pennsylvania","1930-08-01","1930-12-31","27","7848"
"1","Pennsylvania","1930-10-01","1930-06-30","26","9364"
"1","Pennsylvania","1931-04-01","1931-06-30","20","5305"
"7","Pennsylvania","1925-11-28","1925-12-31","61",
"7","Pennsylvania","1930-11-08","1930-12-31","2456","3301"
"7","Pennsylvania","1935-11-16","1935-12-31","4032","3870"
"7","Pennsylvania","1940-03-16","1940-06-30","5703","3629"
"1","Rhode Island","1928-01-01","1928-06-30",,"966"
"1","Rhode Island","1928-10-01","1928-12-31","1","617"
"1","Rhode Island","1929-02-01","1929-06-30",,"661"
"1","Rhode Island","1929-11-01","1929-12-31","1","658"
"1","Rhode Island","1930-08-01","1930-12-31","3","629"
"1","Rhode Island","1930-10-01","1930-06-30","1","612"
"1","Rhode Island","1931-04-01","1931-06-30","3","442"
"7","Rhode Island","1925-11-28","1925-12-31","12",
"7","Rhode Island","1930-11-08","1930-12-31","255","443"
"7","Rhode Island","1935-11-16","1935-12-31","503","453"
"7","Rhode Island","1940-03-16","1940-06-30","668","447"
"1","South Carolina","1928-01-01","1928-06-30",,"190"
"1","South Carolina","1928-10-01","1928-12-31","3","294"
"1","South Carolina","1929-02-01","1929-06-30","2","360"
"1","South Carolina","1929-11-01","1929-12-31",,"303"
"1","South Carolina","1930-08-01","1930-12-31","1","248"
"1","South Carolina","1930-10-01","1930-06-30","1","275"
"1","South Carolina","1931-04-01","1931-06-30","1","185"
"7","South Carolina","1925-11-28","1925-12-31","4",
"7","South Carolina","1930-11-08","1930-12-31","89","53"
"7","South Carolina","1935-11-16","1935-12-31","187","120"
"7","South Carolina","1940-03-16","1940-06-30","322","198"
"1","South Dakota","1928-01-01","1928-06-30",,"257"
"1","South Dakota","1928-10-01","1928-12-31","2","283"
"1","South Dakota","1929-02-01","1929-06-30","4","359"
"1","South Dakota","1929-11-01","1929-12-31","3","397"
"1","South Dakota","1930-08-01","1930-12-31","3","283"
"1","South Dakota","1930-10-01","1930-06-30","3","377"
"1","South Dakota","1931-04-01","1931-06-30","3","170"
"7","South Dakota","1930-11-08","1930-12-31","23","32"
"7","South Dakota","1935-11-16","1935-12-31","46","15"
"7","South Dakota","1940-03-16","1940-06-30","57","25"
"1","Tennessee","1928-01-01","1928-06-30",,"1704"
"1","Tennessee","1928-10-01","1928-12-31","2","834"
"1","Tennessee","1929-02-01","1929-06-30","2","1010"
"1","Tennessee","1929-11-01","1929-12-31","5","1023"
"1","Tennessee","1930-08-01","1930-12-31","6","924"
"1","Tennessee","1930-10-01","1930-06-30","5","971"
"1","Tennessee","1931-04-01","1931-06-30","4","641"
"7","Tennessee","1925-11-28","1925-12-31","6",
"7","Tennessee","1930-11-08","1930-12-31","165","150"
"7","Tennessee","1935-11-16","1935-12-31","295","221"
"7","Tennessee","1940-03-16","1940-06-30","438","197"
"1","Texas","1928-01-01","1928-06-30",,"2977"
"1","Texas","1928-10-01","1928-12-31","7","3255"
"1","Texas","1929-02-01","1929-06-30","11","3695"
"1","Texas","1929-11-01","1929-12-31","15","4846"
"1","Texas","1930-08-01","1930-12-31","14","3589"
"1","Texas","1930-10-01","1930-06-30","14","4598"
"1","Texas","1931-04-01","1931-06-30","20","2608"
"7","Texas","1925-11-28","1925-12-31","11",
"7","Texas","1930-11-08","1930-12-31","449","521"
"7","Texas","1935-11-16","1935-12-31","736","552"
"7","Texas","1940-03-16","1940-06-30","1209","529"
"1","Utah","1928-01-01","1928-06-30",,"644"
"1","Utah","1928-10-01","1928-12-31","3","276"
"1","Utah","1929-02-01","1929-06-30","3","412"
"1","Utah","1929-11-01","1929-12-31","2","465"
"1","Utah","1930-08-01","1930-12-31","2","379"
"1","Utah","1930-10-01","1930-06-30","2","445"
"1","Utah","1931-04-01","1931-06-30","4","240"
"7","Utah","1925-11-28","1925-12-31","1",
"7","Utah","1930-11-08","1930-12-31","59","47"
"7","Utah","1935-11-16","1935-12-31","102","92"
"7","Utah","1940-03-16","1940-06-30","147","64"
"1","Vermont","1928-01-01","1928-06-30",,"181"
"1","Vermont","1928-10-01","1928-12-31","5","197"
"1","Vermont","1929-02-01","1929-06-30","5","230"
"1","Vermont","1929-11-01","1929-12-31","4","218"
"1","Vermont","1930-08-01","1930-12-31","2","116"
"1","Vermont","1930-10-01","1930-06-30","2","193"
"1","Vermont","1931-04-01","1931-06-30","2","105"
"7","Vermont","1925-11-28","1925-12-31","3",
"7","Vermont","1930-11-08","1930-12-31","102","76"
"7","Vermont","1935-11-16","1935-12-31","242","133"
"7","Vermont","1940-03-16","1940-06-30","296","126"
"1","Virginia","1928-01-01","1928-06-30",,"901"
"1","Virginia","1928-10-01","1928-12-31","4","1044"
"1","Virginia","1929-02-01","1929-06-30","3","1239"
"1","Virginia","1929-11-01","1929-12-31","8","1375"
"1","Virginia","1930-08-01","1930-12-31","8","984"
"1","Virginia","1930-10-01","1930-06-30","11","1290"
"1","Virginia","1931-04-01","1931-06-30","6","687"
"7","Virginia","1925-11-28","1925-12-31","11",
"7","Virginia","1930-11-08","1930-12-31","322","402"
"7","Virginia","1935-11-16","1935-12-31","710","549"
"7","Virginia","1940-03-16","1940-06-30","1245","593"
"1","Washington","1928-01-01","1928-06-30",,"2414"
"1","Washington","1928-10-01","1928-12-31","9","1857"
"1","Washington","1929-02-01","1929-06-30","6","1983"
"1","Washington","1929-11-01","1929-12-31","8","1984"
"1","Washington","1930-08-01","1930-12-31","12","1657"
"1","Washington","1930-10-01","1930-06-30","11","1863"
"1","Washington","1931-04-01","1931-06-30","10","1338"
